angle,ratio,O,Nhat,omega,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_exact,lmin_exact,lmax_exact
45.0,5,3,4,1.2129,198,0.0006649805251798147,4.390712695181319,127,0.0005002913568579728,1.2940453267858936,57,0.005853184502688909,4.000000000000001
45.0,5,4,4,1.2116,195,0.0007303614513140235,4.526400100395212,127,0.0005039492907634782,1.2926233005855996,50,0.007910858956059153,4.0000000000000036
45.0,5,5,4,1.213,191,0.0008016573624303002,4.6140516530373565,127,0.0005058697148696986,1.2924344563098733,44,0.01017339919600541,4.000000000000005
45.0,10,0,1,1.214,181,0.00032702339773240893,1.7619403083972698,181,0.00032702339773240893,1.7619403083972698,148,0.0005126675261534362,1.9920526811850583
45.0,10,1,4,1.2127,173,0.0005683715776874317,4.003535731723271,134,0.0004945713653846864,1.4707269758465147,102,0.0016269481572169556,4.000000000000011
45.0,10,2,4,1.2139,176,0.0006829917811961457,4.149572085901119,125,0.0005471271711017339,1.408325671499176,79,0.0028685207018364673,4.0
45.0,10,3,4,1.2142,176,0.0007702335966815748,4.300551635403436,123,0.0005677982293437927,1.3888642407337146,66,0.0042602617507935025,4.000000000000003
45.0,10,4,4,1.2126,172,0.0008519393268115575,4.431496383886675,122,0.0005776696576399085,1.3900194620999156,57,0.005830143477069634,4.000000000000006
45.0,10,5,4,1.2139,168,0.0009364915539340577,4.535502785270598,121,0.000583121642910161,1.3828078153461587,50,0.0076004938981190364,4.000000000000007
45.0,20,0,1,1.2138,199,0.000254658767687281,1.8376831884530103,199,0.000254658767687281,1.8376831884530103,165,0.0003280423654739109,1.9946497197296278
45.0,20,1,4,1.2139,173,0.0005331590953362,4.001042781948646,142,0.00044898471754503135,1.6376192490414183,121,0.0010499231851504975,4.0000000000000036
45.0,20,2,4,1.2133,166,0.0006883298168709784,4.082150424798645,129,0.0005308831820964413,1.5806501170143092,94,0.0018671824650938215,4.0000000000000036
45.0,20,3,4,1.2146,162,0.0008028540758343981,4.198497192291268,124,0.0005690844702745559,1.5642772874660722,78,0.002799874083992688,4.000000000000004
45.0,20,4,4,1.2138,159,0.0009034650546615223,4.314245221044197,122,0.0005895166824508243,1.5625044207409275,67,0.0038741772699536123,4.000000000000009
45.0,20,5,4,1.214,154,0.0010014244597784253,4.4224023575203555,114,0.000601674859808577,1.5303940886252567,59,0.005116316436433674,4.000000000000003
45.0,50,0,1,1.2131,245,0.0001462562427030903,1.9093308430849532,245,0.0001462562427030903,1.9093308430849532,208,0.00016215574757531806,1.9971765344540255
45.0,50,1,4,1.2141,190,0.0003804987025779921,4.00020337001279,170,0.00030549671788746144,1.8547964206250858,159,0.0005230985798871392,4.000000000000003
