# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
141,141,16,1,1,0,0,0,0,0,0,167,10,6,5,6,0,0,0,0,144,7,1,0,0,0,0,0,0
142,142,16,2,1,1,1,0,0,0,0,161,5,1,1,0,0,0,0,0,141,5,1,0,0,0,0,0,0
143,143,16,1,0,0,1,0,0,0,0,148,6,1,0,0,0,0,0,0,140,12,5,5,4,3,2,2,2
144,144,15,0,0,0,0,0,0,0,0,162,23,1,0,0,0,0,0,0,146,16,2,2,2,1,0,0,0
145,145,16,2,0,0,0,0,0,0,0,168,27,1,1,1,0,0,0,0,145,11,0,0,0,0,0,0,0
146,146,16,2,0,0,0,0,0,0,0,166,21,3,1,1,1,0,0,0,145,6,2,0,0,0,0,0,0
147,147,16,0,1,0,0,0,0,0,0,163,2,1,1,1,0,0,0,0,146,3,5,5,6,5,1,1,0
148,148,15,2,0,0,0,0,0,0,0,160,12,1,1,0,0,0,0,0,146,7,1,0,1,1,0,0,0
149,149,16,2,0,0,0,0,0,0,0,164,10,1,0,0,0,0,0,0,144,4,0,0,0,0,0,0,0
150,150,16,2,1,0,0,0,0,0,0,167,12,16,1,0,0,0,0,0,144,6,5,0,0,0,0,0,0
151,151,16,2,0,0,0,0,0,0,0,165,7,1,1,0,0,0,0,0,148,11,10,6,5,5,5,0,0
152,152,15,0,0,0,0,0,0,0,0,164,8,1,0,0,0,0,0,0,146,7,1,0,0,0,0,0,0
153,153,16,1,0,0,0,0,0,0,0,165,5,1,1,1,2,1,0,0,144,7,0,0,0,0,0,0,0
154,154,16,2,0,0,0,0,0,0,0,161,14,1,1,1,0,0,0,0,139,6,1,0,0,0,0,0,0
155,155,16,1,0,0,0,0,0,0,0,164,5,1,0,0,0,0,0,0,146,16,7,1,1,0,0,0,0
156,156,15,0,0,0,0,0,0,0,0,165,4,2,0,0,0,0,0,0,146,12,2,0,0,0,0,0,0
157,157,16,2,0,0,0,0,0,0,0,167,3,3,2,3,0,5,5,0,144,8,0,0,0,0,0,0,0
158,158,16,2,0,0,0,0,0,0,0,169,5,3,3,4,5,6,6,0,144,4,2,0,0,0,0,0,0
159,159,16,0,1,0,0,0,0,0,0,160,1,1,0,0,0,0,0,0,145,2,5,4,0,0,0,0,0
160,160,15,2,0,0,0,0,0,0,0,161,10,0,0,0,0,0,0,0,146,4,1,0,0,0,0,0,0
161,161,16,1,0,0,0,0,0,0,0,165,11,0,0,0,0,0,0,0,141,4,0,0,0,0,0,0,0
162,162,16,1,0,0,0,0,0,0,0,169,13,9,0,0,0,0,0,0,144,10,8,0,0,0,0,0,0
163,163,15,1,0,0,0,0,0,0,0,166,10,1,1,0,0,0,0,0,148,18,6,5,7,5,5,4,4
164,164,16,1,0,0,0,0,0,0,0,161,9,0,0,0,0,0,0,0,146,14,1,0,0,0,0,0,0
165,165,16,1,0,0,0,0,0,0,0,156,7,1,0,0,0,0,0,0,140,7,0,0,0,0,0,0,0
166,166,16,1,0,0,0,0,0,0,0,165,17,6,1,0,0,0,0,0,145,10,2,0,0,0,0,0,0
167,167,16,0,0,0,0,0,0,0,0,169,15,8,7,6,6,0,0,0,149,13,8,6,4,7,6,6,6
168,168,15,2,0,0,0,0,0,0,0,165,29,0,0,0,0,0,0,0,146,20,0,0,0,0,0,0,0
169,169,15,2,0,0,0,0,0,0,0,162,9,0,0,0,0,0,0,0,144,8,0,0,0,0,0,0,0
170,170,15,1,1,0,0,0,0,0,0,158,5,5,0,0,0,0,0,0,140,5,3,0,0,0,0,0,0
171,171,16,1,1,0,0,0,0,0,0,164,11,8,0,0,0,0,0,0,150,18,14,7,2,2,5,5,5
172,172,16,1,0,0,0,0,0,0,0,167,14,1,1,0,0,0,0,0,146,11,0,0,0,0,0,0,0
173,173,16,1,0,0,0,0,0,0,0,164,8,0,0,0,0,0,0,0,145,8,0,0,0,0,0,0,0
174,174,15,0,0,0,0,0,0,0,0,162,4,0,0,0,0,0,0,0,146,3,2,0,0,0,0,0,0
175,175,15,3,1,1,1,0,0,0,0,161,17,2,1,0,0,0,0,0,146,17,3,6,1,2,1,0,0
176,176,16,3,1,0,0,0,0,0,0,161,10,5,4,3,0,0,0,0,140,4,0,0,0,0,0,0,0
177,177,16,2,1,0,0,0,0,0,0,164,7,8,0,0,0,0,0,0,145,7,3,0,0,0,0,0,0
178,178,15,1,0,0,0,0,0,0,0,163,4,0,0,0,0,0,0,0,146,11,3,1,0,0,0,0,0
179,179,15,1,1,0,0,0,0,0,0,162,4,1,0,0,0,0,0,0,154,17,12,10,10,12,13,11,10
180,180,16,2,1,0,0,1,0,0,0,162,2,1,1,0,0,0,0,0,144,5,0,0,0,0,0,0,0
181,181,16,2,0,0,0,0,0,0,0,165,12,4,2,1,1,0,0,0,140,7,0,0,0,0,0,0,0
182,182,15,1,0,0,0,0,0,0,0,161,3,0,0,0,0,0,0,0,145,12,1,0,0,0,0,0,0
183,183,15,2,1,0,0,0,0,0,0,161,4,0,0,0,0,0,0,0,151,20,6,6,7,8,9,7,8
184,184,16,2,0,0,0,0,0,0,0,162,3,1,0,0,0,0,0,0,145,12,0,0,0,0,0,0,0
185,185,16,1,0,0,0,0,0,0,0,165,5,3,3,3,0,0,0,0,144,6,0,0,0,0,0,0,0
186,186,16,1,0,0,0,0,0,0,0,165,6,4,3,0,0,0,0,0,145,4,3,1,0,0,0,0,0
187,187,15,3,0,0,0,0,0,0,0,155,18,0,0,0,0,0,0,0,145,23,4,2,2,2,2,1,1
188,188,16,2,0,0,0,0,0,0,0,160,8,0,0,0,0,0,0,0,144,4,0,0,0,0,0,0,0
189,189,16,2,1,0,0,0,0,0,0,164,12,6,0,0,0,0,0,0,140,4,2,0,0,0,0,0,0
190,190,15,1,1,0,0,0,0,0,0,170,18,8,7,7,5,0,0,0,145,11,8,1,0,0,0,0,0
191,191,16,1,1,0,0,0,0,0,0,163,7,0,0,0,0,0,0,0,148,17,5,4,4,4,4,2,0
192,192,16,2,0,0,0,0,0,0,0,156,9,0,0,0,0,0,0,0,141,11,0,0,0,0,0,0,0
193,193,16,2,0,0,0,0,0,0,0,160,10,1,0,0,0,0,0,0,143,8,1,0,0,0,0,0,0
194,194,16,1,0,0,0,0,0,0,0,168,24,7,6,1,0,0,0,0,146,13,3,1,1,0,0,0,0
195,195,16,0,0,0,0,0,0,0,0,166,12,1,1,1,0,0,0,0,150,16,9,8,6,8,7,6,7
196,196,16,0,0,0,0,0,0,0,0,163,1,0,0,0,0,0,0,0,145,2,0,0,0,0,0,0,0
197,197,16,3,0,0,0,0,0,0,0,161,13,0,0,0,0,0,0,0,143,17,0,0,0,0,0,0,0
198,198,16,1,0,0,0,0,0,0,0,159,8,0,0,0,0,0,0,0,139,9,0,0,0,0,0,0,0
199,199,16,0,0,0,0,0,0,0,0,165,11,7,0,0,0,0,0,0,146,15,8,0,0,0,0,0,0
200,200,16,0,0,0,0,0,0,0,0,163,5,0,0,0,0,0,0,0,145,9,0,0,0,0,0,0,0
201,201,16,0,0,0,0,0,0,0,0,164,9,0,0,0,0,0,0,0,145,9,0,0,0,0,0,0,0
202,202,16,0,0,0,0,0,0,0,0,165,7,1,0,0,0,0,0,0,146,3,1,1,0,0,0,0,0
