# asm_stride_test  n=24 nd=13824 steps=6000 dt=0.01 ms (T=60 ms) stride=50 (Sys2/Sys3 every 0.5 ms) win=16/64 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s2_v0,s2_v1,s2_v2,s2_v3,s3_v0,s3_v1,s3_v2,s3_v3
285,2.8500,7,4,4,4,-,-,-,-,-,-,-,-
286,2.8600,7,4,4,4,-,-,-,-,-,-,-,-
287,2.8700,7,4,4,4,-,-,-,-,-,-,-,-
288,2.8800,7,4,4,4,-,-,-,-,-,-,-,-
289,2.8900,7,4,4,4,-,-,-,-,-,-,-,-
290,2.9000,7,4,4,4,-,-,-,-,-,-,-,-
291,2.9100,7,4,4,4,-,-,-,-,-,-,-,-
292,2.9200,7,4,4,4,-,-,-,-,-,-,-,-
293,2.9300,7,4,4,4,-,-,-,-,-,-,-,-
294,2.9400,7,4,4,4,-,-,-,-,-,-,-,-
295,2.9500,7,4,4,4,-,-,-,-,-,-,-,-
296,2.9600,7,4,4,4,-,-,-,-,-,-,-,-
297,2.9700,7,4,4,4,-,-,-,-,-,-,-,-
298,2.9800,7,4,4,4,-,-,-,-,-,-,-,-
299,2.9900,7,4,4,4,-,-,-,-,-,-,-,-
300,3.0000,7,4,4,4,61,59,60,60,60,57,53,53
301,3.0100,7,4,4,4,-,-,-,-,-,-,-,-
302,3.0200,7,4,4,4,-,-,-,-,-,-,-,-
303,3.0300,7,4,4,4,-,-,-,-,-,-,-,-
304,3.0400,7,4,4,4,-,-,-,-,-,-,-,-
305,3.0500,7,4,4,4,-,-,-,-,-,-,-,-
306,3.0600,7,4,4,4,-,-,-,-,-,-,-,-
307,3.0700,7,4,4,4,-,-,-,-,-,-,-,-
308,3.0800,7,4,4,4,-,-,-,-,-,-,-,-
309,3.0900,7,4,4,4,-,-,-,-,-,-,-,-
310,3.1000,7,4,4,4,-,-,-,-,-,-,-,-
311,3.1100,7,4,4,4,-,-,-,-,-,-,-,-
312,3.1200,7,4,4,4,-,-,-,-,-,-,-,-
313,3.1300,7,4,4,4,-,-,-,-,-,-,-,-
314,3.1400,7,4,4,4,-,-,-,-,-,-,-,-
315,3.1500,7,4,4,4,-,-,-,-,-,-,-,-
316,3.1600,7,4,4,4,-,-,-,-,-,-,-,-
317,3.1700,7,4,4,4,-,-,-,-,-,-,-,-
318,3.1800,7,4,4,4,-,-,-,-,-,-,-,-
319,3.1900,7,4,4,4,-,-,-,-,-,-,-,-
320,3.2000,7,4,4,4,-,-,-,-,-,-,-,-
321,3.2100,7,4,4,4,-,-,-,-,-,-,-,-
322,3.2200,7,4,4,4,-,-,-,-,-,-,-,-
323,3.2300,7,4,4,4,-,-,-,-,-,-,-,-
324,3.2400,7,4,4,4,-,-,-,-,-,-,-,-
325,3.2500,7,4,4,4,-,-,-,-,-,-,-,-
326,3.2600,7,4,4,4,-,-,-,-,-,-,-,-
327,3.2700,7,4,4,4,-,-,-,-,-,-,-,-
328,3.2800,7,4,4,4,-,-,-,-,-,-,-,-
329,3.2900,7,4,4,4,-,-,-,-,-,-,-,-
330,3.3000,7,4,4,4,-,-,-,-,-,-,-,-
331,3.3100,7,4,4,4,-,-,-,-,-,-,-,-
332,3.3200,7,4,4,4,-,-,-,-,-,-,-,-
333,3.3300,7,4,4,4,-,-,-,-,-,-,-,-
334,3.3400,7,4,4,4,-,-,-,-,-,-,-,-
335,3.3500,7,4,4,4,-,-,-,-,-,-,-,-
336,3.3600,7,4,4,4,-,-,-,-,-,-,-,-
337,3.3700,7,5,4,4,-,-,-,-,-,-,-,-
338,3.3800,7,5,4,4,-,-,-,-,-,-,-,-
339,3.3900,7,4,4,4,-,-,-,-,-,-,-,-
340,3.4000,7,4,4,4,-,-,-,-,-,-,-,-
341,3.4100,7,4,4,4,-,-,-,-,-,-,-,-
342,3.4200,7,4,4,4,-,-,-,-,-,-,-,-
343,3.4300,7,5,4,4,-,-,-,-,-,-,-,-
344,3.4400,7,5,4,4,-,-,-,-,-,-,-,-
345,3.4500,7,5,4,4,-,-,-,-,-,-,-,-
346,3.4600,7,5,4,4,-,-,-,-,-,-,-,-
347,3.4700,7,5,4,4,-,-,-,-,-,-,-,-
348,3.4800,7,5,4,4,-,-,-,-,-,-,-,-
349,3.4900,7,5,4,4,-,-,-,-,-,-,-,-
350,3.5000,7,5,4,4,62,59,60,60,60,56,52,52
351,3.5100,7,5,4,4,-,-,-,-,-,-,-,-
352,3.5200,7,5,4,4,-,-,-,-,-,-,-,-
353,3.5300,7,5,4,4,-,-,-,-,-,-,-,-
354,3.5400,7,5,4,4,-,-,-,-,-,-,-,-
355,3.5500,7,5,4,4,-,-,-,-,-,-,-,-
356,3.5600,7,5,4,4,-,-,-,-,-,-,-,-
357,3.5700,7,5,4,4,-,-,-,-,-,-,-,-
358,3.5800,7,5,4,4,-,-,-,-,-,-,-,-
359,3.5900,7,5,4,4,-,-,-,-,-,-,-,-
360,3.6000,7,5,4,4,-,-,-,-,-,-,-,-
361,3.6100,7,5,4,4,-,-,-,-,-,-,-,-
362,3.6200,7,5,4,4,-,-,-,-,-,-,-,-
363,3.6300,7,5,4,4,-,-,-,-,-,-,-,-
364,3.6400,7,5,4,4,-,-,-,-,-,-,-,-
365,3.6500,7,5,4,4,-,-,-,-,-,-,-,-
366,3.6600,7,5,4,4,-,-,-,-,-,-,-,-
367,3.6700,7,5,4,4,-,-,-,-,-,-,-,-
368,3.6800,7,5,4,4,-,-,-,-,-,-,-,-
369,3.6900,7,5,4,4,-,-,-,-,-,-,-,-
370,3.7000,7,5,4,4,-,-,-,-,-,-,-,-
371,3.7100,7,5,4,4,-,-,-,-,-,-,-,-
372,3.7200,7,5,4,4,-,-,-,-,-,-,-,-
373,3.7300,7,5,4,4,-,-,-,-,-,-,-,-
374,3.7400,7,5,4,4,-,-,-,-,-,-,-,-
375,3.7500,7,5,4,4,-,-,-,-,-,-,-,-
376,3.7600,7,5,4,4,-,-,-,-,-,-,-,-
377,3.7700,7,5,4,4,-,-,-,-,-,-,-,-
