step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
124,1.2400,-2.4300428864e-01,-2.1900552087e-01,-1.9691040648e-01,-1.7526841763e-01,-1.9445114787e-01,-1.8093084359e-01,-1.6800198885e-01,-1.5485628343e-01
125,1.2500,-2.4716911990e-01,-2.2277167360e-01,-2.0030605854e-01,-1.7829796256e-01,-1.9780644973e-01,-1.8405561188e-01,-1.7090527041e-01,-1.5753333190e-01
126,1.2600,-2.5132448804e-01,-2.2652934429e-01,-2.0369410111e-01,-1.8132072148e-01,-2.0115425179e-01,-1.8717336997e-01,-1.7380199852e-01,-1.6020427944e-01
127,1.2700,-2.5547985618e-01,-2.3028701498e-01,-2.0708214368e-01,-1.8434348039e-01,-2.0450205385e-01,-1.9029112805e-01,-1.7669872662e-01,-1.6287522698e-01
128,1.2800,-2.5963522432e-01,-2.3404468566e-01,-2.1047018624e-01,-1.8736623931e-01,-2.0784985591e-01,-1.9340888614e-01,-1.7959545473e-01,-1.6554617452e-01
129,1.2900,-2.6379059247e-01,-2.3780235635e-01,-2.1385822881e-01,-1.9038899822e-01,-2.1119765797e-01,-1.9652664423e-01,-1.8249218283e-01,-1.6821712206e-01
130,1.3000,-2.6794596061e-01,-2.4156002704e-01,-2.1724627138e-01,-1.9341175714e-01,-2.1454546003e-01,-1.9964440231e-01,-1.8538891094e-01,-1.7088806960e-01
131,1.3100,-2.7209829621e-01,-2.4531501494e-01,-2.2063193926e-01,-1.9643242886e-01,-2.1789092739e-01,-2.0275999409e-01,-1.8828362860e-01,-1.7355715980e-01
132,1.3200,-2.7618876201e-01,-2.4901526860e-01,-2.2396915888e-01,-1.9941051774e-01,-2.2118876220e-01,-2.0583138885e-01,-1.9113732937e-01,-1.7618835670e-01
133,1.3300,-2.8027922780e-01,-2.5271552227e-01,-2.2730637849e-01,-2.0238860662e-01,-2.2448659700e-01,-2.0890278361e-01,-1.9399103013e-01,-1.7881955360e-01
134,1.3400,-2.8436466661e-01,-2.5641126414e-01,-2.3063954621e-01,-2.0536307906e-01,-2.2778043767e-01,-2.1197044339e-01,-1.9684123811e-01,-1.8144749805e-01
135,1.3500,-2.8842365680e-01,-2.6008326802e-01,-2.3395139559e-01,-2.0831852429e-01,-2.3105326388e-01,-2.1501845225e-01,-1.9967306946e-01,-1.8405833038e-01
136,1.3600,-2.9242809131e-01,-2.6370664788e-01,-2.3721987998e-01,-2.1123554785e-01,-2.3428339495e-01,-2.1802668731e-01,-2.0246784311e-01,-1.8663478592e-01
137,1.3700,-2.9640339837e-01,-2.6730385006e-01,-2.4046481905e-01,-2.1413151895e-01,-2.3749030954e-01,-2.2101319263e-01,-2.0524227677e-01,-1.8919228119e-01
138,1.3800,-3.0036739338e-01,-2.7089084589e-01,-2.4370054186e-01,-2.1701921496e-01,-2.4068813027e-01,-2.2399116803e-01,-2.0800870912e-01,-1.9174230142e-01
139,1.3900,-3.0433138835e-01,-2.7447784168e-01,-2.4693626462e-01,-2.1990691094e-01,-2.4388595096e-01,-2.2696914340e-01,-2.1077514143e-01,-1.9429232161e-01
140,1.4000,-3.0829538340e-01,-2.7806483756e-01,-2.5017198748e-01,-2.2279460702e-01,-2.4708377175e-01,-2.2994711887e-01,-2.1354157385e-01,-1.9684234191e-01
141,1.4100,-3.1225937842e-01,-2.8165183340e-01,-2.5340771030e-01,-2.2568230306e-01,-2.5028159250e-01,-2.3292509429e-01,-2.1630800622e-01,-1.9939236217e-01
142,1.4200,-3.1664124333e-01,-2.8561622361e-01,-2.5698337618e-01,-2.2887314299e-01,-2.5381513311e-01,-2.3621588702e-01,-2.1936532440e-01,-2.0221095169e-01
143,1.4300,-3.2132739232e-01,-2.8985542448e-01,-2.6080658144e-01,-2.3228472595e-01,-2.5759313787e-01,-2.3973446673e-01,-2.2263445953e-01,-2.0522510772e-01
144,1.4400,-3.2598787041e-01,-2.9407228442e-01,-2.6461034144e-01,-2.3567952401e-01,-2.6135208642e-01,-2.4323552102e-01,-2.2588747305e-01,-2.0822450648e-01
145,1.4500,-3.3058297672e-01,-2.9823097297e-01,-2.6836231934e-01,-2.3902854542e-01,-2.6506007386e-01,-2.4668915105e-01,-2.2909635109e-01,-2.1118301492e-01
